City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.73,-155.09,82.27,79,100,11.5,overcast clouds
1,Ushuaia,AR,-54.80,-68.30,33.46,80,0,4.61,clear sky
2,Saint George,US,37.10,-113.58,84.63,10,0,9.22,clear sky
3,Chuy,UY,-33.70,-53.46,51.66,82,18,5.39,few clouds
4,Quatre Cocos,MU,-20.21,57.76,73.51,77,16,11.45,few clouds
5,Tuktoyaktuk,CA,69.45,-133.04,19.4,86,100,14.97,overcast clouds
6,Nanchong,CN,30.80,106.08,75.34,67,0,1.81,clear sky
7,Punta Arenas,CL,-53.15,-70.92,30.31,93,40,5.75,scattered clouds
8,Butaritari,KI,3.07,172.79,82.35,78,67,13.73,broken clouds
9,Gejiu,CN,23.31,103.16,54.43,97,100,2.91,overcast clouds
10,Oxford,GB,51.75,-1.26,57.36,84,20,4.61,few clouds
11,Yerbogachen,RU,61.28,108.01,59.85,62,63,4.32,broken clouds
12,Rikitea,PF,-23.12,-134.97,76.01,76,49,17.27,scattered clouds
13,Cabo San Lucas,MX,22.89,-109.91,77.31,58,0,4.61,clear sky
14,Katsuura,JP,35.13,140.30,66.25,81,49,18.7,scattered clouds
15,Lasa,IT,46.62,10.70,59.88,75,92,2.68,overcast clouds
16,Wewak,PG,-3.55,143.63,83.93,74,100,7.02,overcast clouds
17,Yellowknife,CA,62.46,-114.35,36.12,64,100,8.05,light snow
18,Kaitangata,NZ,-46.28,169.85,50.97,70,99,17.27,overcast clouds
19,Atuona,PF,-9.80,-139.03,78.78,75,32,18.81,light rain
20,Edd,ER,13.93,41.69,86.63,43,30,7.14,scattered clouds
21,Japura,ID,-0.32,102.35,82.38,79,77,3.31,broken clouds
22,Hermanus,ZA,-34.42,19.23,58.6,82,52,7.38,broken clouds
23,Avera,US,33.19,-82.53,73.54,68,100,7.49,overcast clouds
24,Victoria,HK,22.29,114.16,80.19,91,99,17.0,overcast clouds
25,Anadyr,RU,64.75,177.48,54.1,58,0,15.66,clear sky
26,Mwinilunga,ZM,-11.74,24.43,53.24,69,97,4.25,overcast clouds
27,Ponta Delgada,PT,37.73,-25.67,67.5,94,75,4.61,broken clouds
28,Turtas,RU,58.94,69.13,45.39,80,38,9.33,scattered clouds
29,Kijang,KR,35.24,129.21,70.7,63,17,5.48,few clouds
30,Njeru,UG,0.42,33.17,64.24,90,100,0.38,light rain
31,Vaini,TO,-21.20,-175.20,82.56,83,40,8.05,scattered clouds
32,Busselton,AU,-33.65,115.33,63.57,70,89,18.25,overcast clouds
33,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,76.44,83,43,12.39,scattered clouds
34,Linkoping,SE,58.41,15.62,44.98,77,100,5.75,overcast clouds
35,Seoul,KR,37.57,126.98,78.37,50,40,3.44,mist
36,Samana,DO,19.21,-69.34,76.44,86,29,7.31,scattered clouds
37,Qaqortoq,GL,60.72,-46.03,34.29,89,99,9.1,overcast clouds
38,Chokurdakh,RU,70.63,147.92,33.31,100,100,6.76,overcast clouds
39,Mar Del Plata,AR,-38.00,-57.56,54.95,77,0,4.61,clear sky
40,Asau,RO,46.43,26.40,51.28,91,100,2.3,overcast clouds
41,Mataura,NZ,-46.19,168.86,50.49,75,79,9.6,broken clouds
42,Kamaishi,JP,39.27,141.88,55.87,91,100,1.63,moderate rain
43,Bondo,CD,3.81,23.69,69.46,98,100,1.32,overcast clouds
44,Bredasdorp,ZA,-34.53,20.04,54.14,90,21,4.47,few clouds
45,Albany,US,42.60,-73.97,64.22,85,98,1.01,overcast clouds
46,Qaanaaq,GL,77.48,-69.36,25.88,78,100,8.59,overcast clouds
47,Tautira,PF,-17.73,-149.15,78.94,76,25,12.88,scattered clouds
48,Shimoda,JP,34.67,138.95,68.36,75,33,11.86,scattered clouds
49,Bluff,NZ,-46.60,168.33,50.81,77,99,29.53,overcast clouds
50,Hithadhoo,MV,-0.60,73.08,83.39,73,100,13.31,overcast clouds
51,Bukama,CD,-9.20,25.85,67.48,82,90,4.16,overcast clouds
52,Meulaboh,ID,4.14,96.13,80.24,81,100,2.33,overcast clouds
53,Khash,IR,28.22,61.22,65.59,22,0,4.68,clear sky
54,Barrow,US,71.29,-156.79,24.82,86,100,11.5,overcast clouds
55,Kodiak,US,57.79,-152.41,47.71,81,100,16.11,light rain
56,Hobart,AU,-42.88,147.33,58.26,76,20,10.36,few clouds
57,Isangel,VU,-19.55,169.27,84.31,79,40,6.91,scattered clouds
58,Tual,ID,-5.67,132.75,83.39,76,25,16.53,scattered clouds
59,East London,ZA,-33.02,27.91,59.34,80,60,3.94,broken clouds
60,Zhangjiakou,CN,40.81,114.88,77.76,28,21,5.64,few clouds
61,Daru,PG,-9.08,143.21,84.79,69,42,12.8,scattered clouds
62,Sept-Iles,CA,50.20,-66.38,51.06,95,100,5.75,mist
63,New Norfolk,AU,-42.78,147.06,57.92,59,9,1.95,clear sky
64,Komsomolskiy,UZ,40.43,71.72,56.12,76,100,2.3,overcast clouds
65,Atar,MR,20.52,-13.05,86.43,21,2,5.12,clear sky
66,Itoman,JP,26.12,127.67,75.22,86,100,11.5,light rain
67,Jamestown,US,42.10,-79.24,50.05,97,40,0.0,scattered clouds
68,Tiksi,RU,71.69,128.87,32.0,90,7,3.98,clear sky
69,Mitsamiouli,KM,-11.38,43.28,77.85,85,100,11.27,overcast clouds
70,Yuksekova,TR,37.57,44.29,53.35,71,75,5.75,light intensity shower rain
71,Abu Dhabi,AE,24.47,54.37,80.96,74,0,4.61,clear sky
72,Hamilton,US,39.18,-84.53,62.73,71,0,8.05,clear sky
73,Sambava,MG,-14.27,50.17,73.62,80,99,10.33,light rain
74,Ramona,US,33.04,-116.87,64.83,74,0,9.22,clear sky
75,Baruun-Urt,MN,46.68,113.28,73.22,21,4,11.36,clear sky
76,Arlit,NE,18.74,7.39,83.48,31,99,8.75,overcast clouds
77,Adrar,MR,20.50,-10.07,86.13,19,72,2.37,broken clouds
78,Ulaanbaatar,MN,47.91,106.88,68.13,21,0,8.95,clear sky
79,Flinders,AU,-34.58,150.86,65.17,84,97,5.99,light rain
80,Gatton,AU,-27.55,152.28,68.94,83,100,10.31,overcast clouds
81,Ewo,CG,-0.87,14.82,72.14,91,100,3.96,light rain
82,Sobolevo,RU,54.43,31.90,36.03,82,15,4.16,few clouds
83,Cape Town,ZA,-33.93,18.42,61.38,86,56,4.0,broken clouds
84,Toamasina,MG,-18.17,49.38,71.15,88,79,3.47,light rain
85,Camana,PE,-16.62,-72.71,65.03,82,36,7.07,scattered clouds
86,Richards Bay,ZA,-28.78,32.04,62.55,91,100,15.17,moderate rain
87,Kulhudhuffushi,MV,6.62,73.07,83.68,76,77,14.94,broken clouds
88,Waipawa,NZ,-41.41,175.52,54.18,53,5,4.23,clear sky
89,Los Llanos De Aridane,ES,28.66,-17.92,65.95,83,100,13.8,overcast clouds
90,Wagar,SD,16.15,36.20,89.4,25,2,6.76,clear sky
91,Paita,PE,-5.09,-81.11,66.4,83,8,15.73,clear sky
92,Siyabuswa,ZA,-25.11,29.04,52.32,73,68,2.17,broken clouds
93,Bossangoa,CF,6.49,17.46,71.91,87,100,5.79,overcast clouds
94,Avarua,CK,-21.21,-159.78,84.25,74,40,8.05,scattered clouds
95,Puerto Ayora,EC,-0.74,-90.35,71.83,91,34,6.96,scattered clouds
96,Tezu,IN,27.92,96.17,81.81,62,85,2.66,overcast clouds
97,Klaksvik,FO,62.23,-6.59,47.32,89,44,9.37,scattered clouds
98,Fortuna,US,40.60,-124.16,55.92,87,75,11.5,broken clouds
99,Beringovskiy,RU,63.05,179.32,43.16,71,84,11.34,broken clouds
100,Champerico,GT,14.30,-91.92,81.97,78,68,2.71,broken clouds
101,Port Alfred,ZA,-33.59,26.89,59.59,78,68,5.64,broken clouds
102,Toyooka,JP,35.53,134.83,73.45,53,20,6.91,few clouds
103,Rayagada,IN,19.17,83.42,89.69,47,5,1.92,clear sky
104,Yaan,NG,7.38,8.57,74.93,89,100,7.65,moderate rain
105,Talnakh,RU,69.49,88.40,33.21,100,100,5.84,light snow
106,Castro,BR,-24.79,-50.01,49.42,78,96,2.39,overcast clouds
107,Shahrud,IR,36.42,54.98,61.16,23,0,3.8,clear sky
108,Aksu,CN,41.12,80.26,79.83,19,100,8.1,overcast clouds
109,Bethel,US,41.37,-73.41,71.91,89,20,3.44,few clouds
110,Udayagiri,IN,20.13,84.38,83.37,56,15,3.24,few clouds
111,Hervey Bay,AU,-25.30,152.85,73.02,74,100,8.01,overcast clouds
112,Jalu,LY,29.03,21.55,67.32,33,0,5.93,clear sky
113,Mataro,ES,41.54,2.44,74.35,57,70,3.0,broken clouds
114,Sangar,RU,63.92,127.47,47.59,73,96,2.75,light rain
115,Sabha,LY,27.04,14.43,73.63,12,1,11.34,clear sky
116,Gat,IL,31.61,34.76,66.4,100,4,9.55,clear sky
117,Atherton,GB,53.52,-2.49,54.43,87,17,3.11,few clouds
118,Chumikan,RU,54.72,135.31,33.57,92,100,11.39,overcast clouds
119,Yashalta,RU,46.34,42.28,52.38,95,99,10.18,overcast clouds
120,Vegreville,CA,53.50,-112.05,63.3,23,90,12.66,overcast clouds
121,Kapaa,US,22.08,-159.32,82.38,81,100,12.66,overcast clouds
122,Mahajanga,MG,-15.72,46.32,75.22,69,40,5.75,scattered clouds
123,Nanortalik,GL,60.14,-45.24,34.43,92,74,10.56,broken clouds
124,Luderitz,NA,-26.65,15.16,60.24,56,15,6.35,few clouds
125,Severo-Kurilsk,RU,50.68,156.12,41.94,96,100,15.08,overcast clouds
126,Pontianak,ID,-0.03,109.33,87.78,74,40,4.61,scattered clouds
127,Mount Isa,AU,-20.73,139.50,78.57,38,3,10.36,clear sky
128,Mount Gambier,AU,-37.83,140.77,62.42,49,0,5.12,clear sky
129,Cidreira,BR,-30.18,-50.21,58.91,79,42,7.65,scattered clouds
130,Bahia Blanca,AR,-38.72,-62.27,57.42,45,100,6.69,light rain
131,Ribeira Grande,PT,38.52,-28.70,64.13,94,100,3.6,light rain
132,Zhigansk,RU,66.77,123.37,49.42,48,70,2.91,broken clouds
133,Hobyo,SO,5.35,48.53,80.31,79,90,23.29,overcast clouds
134,Lipin Bor,RU,60.26,37.98,32.79,74,100,10.38,overcast clouds
135,Lorengau,PG,-2.02,147.27,85.96,63,98,13.6,overcast clouds
136,Waingapu,ID,-9.66,120.26,85.3,65,18,14.56,few clouds
137,Pauini,BR,-7.71,-66.98,74.98,83,95,2.04,overcast clouds
138,Ponta Do Sol,PT,32.67,-17.10,66.83,68,37,6.15,scattered clouds
139,College,US,64.86,-147.80,66.58,26,20,13.8,few clouds
140,Carnarvon,AU,-24.87,113.63,72.16,54,17,16.46,few clouds
141,Tuatapere,NZ,-46.13,167.68,52.75,68,46,11.36,scattered clouds
142,Clyde River,CA,70.47,-68.59,17.83,93,100,14.97,light snow
143,Olafsvik,IS,64.89,-23.71,41.63,68,0,11.3,clear sky
144,Tasiilaq,GL,65.61,-37.64,33.96,99,100,12.53,snow
145,Jieshi,CN,22.81,115.83,78.94,85,100,13.91,overcast clouds
146,Iqaluit,CA,63.75,-68.51,22.73,79,100,18.41,light snow
147,Aykhal,RU,66.00,111.50,55.24,53,100,10.76,overcast clouds
148,Yar-Sale,RU,66.83,70.83,35.98,90,99,28.52,overcast clouds
149,Wencheng,CN,33.06,113.80,81.32,48,0,3.85,clear sky
150,Kalispell,US,48.20,-114.31,57.78,36,100,6.91,overcast clouds
151,Walvis Bay,NA,-22.96,14.51,65.91,33,12,5.37,few clouds
152,Xiongyue,CN,40.18,122.12,78.55,42,16,12.44,few clouds
153,Sola,VU,-13.88,167.55,81.7,74,39,1.74,scattered clouds
154,Bambanglipuro,ID,-7.95,110.28,83.7,68,67,4.92,broken clouds
155,Kihei,US,20.79,-156.47,86.02,66,0,23.02,clear sky
156,Half Moon Bay,US,37.46,-122.43,74.03,70,0,23.02,mist
157,Kishi,NG,9.08,3.85,73.24,90,100,4.76,overcast clouds
158,Comodoro Rivadavia,AR,-45.87,-67.50,42.66,52,0,18.41,clear sky
159,Grand Gaube,MU,-20.01,57.66,73.8,77,1,3.0,clear sky
160,Vila Velha,BR,-20.33,-40.29,66.15,94,40,1.14,scattered clouds
161,Teahupoo,PF,-17.83,-149.27,78.76,76,23,13.73,few clouds
162,Coihaique,CL,-45.58,-72.07,34.41,93,75,8.05,light rain
163,Antofagasta,CL,-23.65,-70.40,56.48,82,42,5.48,scattered clouds
164,Carutapera,BR,-1.20,-46.02,73.98,94,19,3.94,few clouds
165,Owando,CG,-0.48,15.90,71.73,98,100,2.66,moderate rain
166,Moerai,PF,-22.43,-151.33,79.12,65,28,5.39,scattered clouds
167,Pochutla,MX,15.74,-96.47,80.82,69,0,6.69,clear sky
168,Shache,CN,38.42,77.24,69.71,44,100,16.96,overcast clouds
169,Ayan,RU,56.45,138.17,34.18,90,80,12.77,broken clouds
170,Georgetown,MY,5.41,100.34,87.73,73,20,4.61,few clouds
171,Oussouye,SN,12.48,-16.55,73.53,76,100,9.82,overcast clouds
172,Sovetskiy,RU,61.36,63.58,37.42,84,92,10.58,overcast clouds
173,Tadine,NC,-21.55,167.88,79.03,78,1,12.26,clear sky
174,Dingle,PH,11.00,122.67,86.83,65,94,7.85,overcast clouds
175,Cockburn Town,TC,21.46,-71.14,79.61,79,1,20.6,clear sky
176,Beloha,MG,-25.17,45.05,63.05,93,3,5.82,clear sky
177,Cherskiy,RU,68.75,161.30,57.69,35,100,17.31,overcast clouds
178,Inhambane,MZ,-23.86,35.38,66.97,94,97,4.52,moderate rain
179,Dembi Dolo,ET,8.53,34.80,57.43,91,98,4.59,overcast clouds
180,Dikson,RU,73.51,80.55,24.82,88,81,11.97,broken clouds
181,Arraial Do Cabo,BR,-22.97,-42.03,71.06,72,7,14.83,clear sky
182,Kushiro,JP,42.98,144.37,58.15,88,75,8.05,mist
183,Asyut,EG,27.18,31.18,64.58,37,0,5.12,clear sky
184,Myitkyina,MM,25.38,97.40,81.59,72,56,1.32,broken clouds
185,Narsaq,GL,60.92,-46.05,37.62,94,97,7.27,light rain
186,Thinadhoo,MV,0.53,72.93,83.32,75,99,11.77,overcast clouds
187,Kavieng,PG,-2.57,150.80,85.71,63,75,16.02,broken clouds
188,Saint-Philippe,RE,-21.36,55.77,69.39,70,39,8.81,scattered clouds
189,Kaeo,NZ,-35.10,173.78,62.82,66,100,8.43,overcast clouds
190,Matara,LK,5.95,80.54,80.64,87,85,11.32,overcast clouds
191,Batemans Bay,AU,-35.72,150.18,57.09,65,93,4.56,light rain
192,Constitucion,CL,-35.33,-72.42,51.8,93,100,10.87,overcast clouds
193,Suluq,LY,31.67,20.25,60.96,56,0,2.82,clear sky
194,Rio Gallegos,AR,-51.62,-69.22,32.05,80,40,6.91,scattered clouds
195,Tabou,CI,4.42,-7.35,75.45,91,100,7.07,light rain
196,Praia Da Vitoria,PT,38.73,-27.07,63.75,100,100,6.71,light intensity drizzle
197,Pushkinskiye Gory,RU,57.02,28.91,32.67,79,10,3.49,clear sky
198,Hovd,MN,48.01,91.64,73.74,13,22,0.54,few clouds
199,Upernavik,GL,72.79,-56.15,31.77,82,99,21.65,overcast clouds
200,Najran,SA,17.49,44.13,70.45,15,3,3.31,clear sky
201,Safaga,EG,26.73,33.94,73.78,41,0,18.37,clear sky
202,Itupiranga,BR,-5.13,-49.33,72.32,94,7,1.88,clear sky
203,Nouadhibou,MR,20.93,-17.03,64.38,94,0,14.97,clear sky
204,Halifax,CA,44.65,-63.57,55.69,98,100,9.22,overcast clouds
205,Tromso,NO,69.65,18.96,44.62,81,100,0.0,overcast clouds
206,Kahului,US,20.89,-156.47,86.02,62,0,23.02,clear sky
207,Torbay,CA,47.67,-52.73,54.37,60,100,17.27,overcast clouds
208,Bambous Virieux,MU,-20.34,57.76,73.65,73,40,5.75,scattered clouds
209,Mahebourg,MU,-20.41,57.70,73.69,73,40,5.75,scattered clouds
210,Ilulissat,GL,69.22,-51.10,32.02,100,100,2.3,overcast clouds
211,Leningradskiy,RU,69.38,178.42,38.35,89,32,2.71,scattered clouds
212,Dangriga,BZ,16.97,-88.23,83.64,59,40,22.5,scattered clouds
213,Puerto Escondido,MX,15.85,-97.07,81.36,73,5,8.39,clear sky
214,Vardo,NO,70.37,31.11,37.38,87,100,16.11,overcast clouds
215,Souillac,MU,-20.52,57.52,73.78,73,40,5.75,scattered clouds
216,Ndele,CF,8.41,20.65,75.38,65,52,4.21,broken clouds
217,Vidim,RU,56.41,103.11,53.51,56,36,6.67,scattered clouds
218,Mezen,RU,65.85,44.24,30.56,75,100,16.2,overcast clouds
219,Hasaki,JP,35.73,140.83,70.29,78,75,11.79,broken clouds
220,Yelizovo,RU,53.19,158.38,44.74,93,100,8.99,overcast clouds
221,Tanout,NE,14.97,8.89,82.87,15,87,7.67,overcast clouds
222,Male,MV,4.17,73.51,83.1,75,100,12.93,overcast clouds
223,Saint Anthony,US,45.02,-93.22,53.65,55,100,3.44,overcast clouds
224,Saskylakh,RU,71.92,114.08,33.15,96,100,10.22,overcast clouds
225,Fairbanks,US,64.84,-147.72,66.6,26,0,13.8,clear sky
226,Grants,US,35.15,-107.85,66.43,22,0,6.91,clear sky
227,Gogrial,SS,8.53,28.10,80.44,56,100,3.69,overcast clouds
228,Sukhumi,GE,43.00,41.02,59.74,76,52,6.06,light rain
229,Kalmunai,LK,7.42,81.82,82.6,64,28,3.31,scattered clouds
230,Dongsheng,CN,39.82,109.98,65.8,44,2,6.31,clear sky
231,Ismailia,EG,30.60,32.27,62.91,80,0,9.04,clear sky
232,Nuuk,GL,64.18,-51.72,32.61,100,100,36.82,light snow
233,Meadow Lake,US,34.80,-106.54,73.11,24,88,23.15,overcast clouds
234,Port Moresby,PG,-9.44,147.18,89.02,62,40,5.75,haze
235,Tottori,JP,35.50,134.23,69.87,73,20,9.22,few clouds
236,Chislaz,RO,47.28,22.23,57.42,81,48,4.18,scattered clouds
237,Clacton-On-Sea,GB,51.79,1.16,57.78,90,98,3.0,overcast clouds
238,Malakwal,PK,32.55,73.21,85.82,29,0,15.14,clear sky
239,Chone,EC,-0.68,-80.10,74.77,95,100,3.62,light rain
240,Coquimbo,CL,-29.95,-71.34,55.13,94,0,5.75,clear sky
241,Bathsheba,BB,13.22,-59.52,81.21,78,40,14.97,scattered clouds
242,Encruzilhada Do Sul,BR,-30.54,-52.52,46.96,93,0,1.63,clear sky
243,Saint-Joseph,RE,-21.37,55.62,68.38,70,21,10.4,few clouds
244,Provideniya,RU,64.38,-173.30,53.71,54,0,8.99,clear sky
245,Kidal,ML,18.44,1.41,83.21,33,45,7.96,scattered clouds
246,Norman Wells,CA,65.28,-126.83,44.64,61,75,4.61,light intensity shower rain
247,Gimli,CA,50.63,-96.99,55.42,30,6,6.91,clear sky
248,Nishihara,JP,26.18,127.76,74.48,89,100,12.66,light intensity drizzle
249,Bardsir,IR,29.92,56.57,59.0,16,0,1.72,clear sky
250,Aketi,CD,2.74,23.78,70.7,98,100,1.21,light rain
251,Faanui,PF,-16.48,-151.75,81.12,69,7,14.07,clear sky
252,Yulara,AU,-25.24,130.99,68.18,32,100,11.1,overcast clouds
253,Te Karaka,NZ,-38.47,177.87,61.99,48,11,4.72,few clouds
254,Asbury Park,US,40.22,-74.01,77.47,67,0,8.05,clear sky
255,Manacapuru,BR,-3.30,-60.62,74.52,90,3,2.89,clear sky
256,Coari,BR,-4.08,-63.14,72.07,96,96,2.57,overcast clouds
257,Urengoy,RU,65.97,78.37,57.4,62,14,16.08,few clouds
258,Umm Lajj,SA,25.02,37.27,75.96,64,0,13.33,clear sky
259,Patacamaya,BO,-17.23,-67.92,39.65,28,0,2.66,clear sky
260,Malanje,AO,-9.54,16.34,60.93,88,100,2.48,overcast clouds
261,Booue,GA,-0.09,11.94,70.81,99,52,1.63,broken clouds
262,Cayenne,GF,4.93,-52.33,82.09,1,75,4.0,broken clouds
263,Selma,US,36.57,-119.61,88.09,11,0,12.39,clear sky
264,Makakilo City,US,21.35,-158.09,80.92,56,0,14.97,clear sky
265,Axim,GH,4.87,-2.24,75.52,88,100,4.65,overcast clouds
266,Verkhnevilyuysk,RU,63.45,120.32,64.42,35,40,1.45,scattered clouds
267,Lompoc,US,34.64,-120.46,64.54,77,40,25.01,haze
268,Codrington,AU,-38.27,141.97,60.19,52,0,3.24,clear sky
269,Tierra Blanca,HN,14.58,-88.58,70.12,94,100,2.28,overcast clouds
270,Joao Pinheiro,BR,-17.74,-46.17,59.32,65,0,5.19,clear sky
271,Lagos,NG,6.58,3.75,77.32,90,100,1.97,overcast clouds
272,Puerto Leguizamo,CO,-0.19,-74.78,71.6,97,56,2.15,broken clouds
273,Thompson,CA,55.74,-97.86,60.96,23,75,12.66,broken clouds
274,The Valley,AI,18.22,-63.06,80.82,77,87,18.45,overcast clouds
275,Port Lincoln,AU,-34.73,135.87,65.82,63,21,12.17,few clouds
276,Saldanha,ZA,-33.01,17.94,48.25,90,99,1.68,overcast clouds
277,Huarmey,PE,-10.07,-78.15,64.74,88,1,6.91,clear sky
278,Chilakalurupet,IN,16.08,80.17,90.19,52,73,15.9,broken clouds
279,Ahipara,NZ,-35.17,173.17,62.04,68,100,12.86,overcast clouds
280,Ust-Tsilma,RU,65.44,52.15,31.03,95,100,13.09,snow
281,La Baule-Escoublac,FR,47.29,-2.36,62.26,95,75,5.75,broken clouds
282,Batagay-Alyta,RU,67.80,130.41,40.64,66,13,3.71,few clouds
283,Pevek,RU,69.70,170.31,36.25,91,72,6.91,broken clouds
284,Buala,SB,-8.14,159.59,85.42,69,35,4.74,light rain
285,Ngunguru,NZ,-35.62,174.50,61.77,65,100,11.61,overcast clouds
286,San Patricio,US,28.02,-97.52,79.84,77,46,10.09,scattered clouds
287,Port Elizabeth,ZA,-33.92,25.57,50.29,100,0,0.0,clear sky
288,Pacific Grove,US,36.62,-121.92,64.87,78,0,11.01,clear sky
289,Sao Joao Da Barra,BR,-21.64,-41.05,69.71,72,21,7.52,few clouds
290,Aklavik,CA,68.22,-135.01,36.34,57,99,10.94,overcast clouds
291,Aljezur,PT,37.32,-8.80,61.72,91,72,9.01,broken clouds
292,Shupiyan,IN,33.72,74.83,53.8,71,59,3.98,broken clouds
293,Paraiso,CR,9.84,-83.87,69.89,100,100,1.3,overcast clouds
294,San Quintin,MX,30.48,-115.95,62.19,72,0,11.72,clear sky
295,Alihe,CN,50.57,123.72,62.56,44,56,9.57,broken clouds
296,Mareeba,AU,-17.00,145.43,79.66,76,48,3.51,scattered clouds
297,Sabaudia,IT,41.30,13.03,65.44,96,23,4.05,few clouds
298,Yamada,JP,39.47,141.95,58.66,80,100,4.21,moderate rain
299,Ryotsu,JP,38.08,138.43,62.73,74,69,6.02,broken clouds
300,Majene,ID,-3.54,118.97,83.82,71,49,10.16,scattered clouds
301,Ranong,TH,9.97,98.63,84.13,82,100,12.88,overcast clouds
302,Palu,ID,-0.89,119.87,80.55,88,90,2.95,overcast clouds
303,Kununurra,AU,-15.77,128.73,85.98,28,88,14.97,overcast clouds
304,Svetlyy,RU,54.67,20.13,48.25,86,74,6.35,broken clouds
305,Balsas,BR,-7.53,-46.04,79.36,57,100,4.14,overcast clouds
306,Pombia,IT,45.65,8.63,67.55,83,0,4.61,clear sky
307,Lingao,CN,19.91,109.69,83.97,77,100,10.04,overcast clouds
308,Arman,RU,59.70,150.17,41.02,98,100,8.37,moderate rain
309,Mamallapuram,IN,12.63,80.17,86.05,61,49,12.82,scattered clouds
310,Golden,US,39.76,-105.22,53.89,64,75,8.05,broken clouds
311,Maraa,BR,-1.83,-65.37,72.25,98,83,1.88,broken clouds
312,Ganzhou,CN,28.82,115.43,67.91,89,100,1.81,overcast clouds
313,Karlshamn,SE,56.17,14.86,48.69,88,81,1.74,broken clouds
314,Westport,US,41.14,-73.36,74.17,90,75,8.05,broken clouds
315,Bengkulu,ID,-3.80,102.27,81.37,76,89,1.48,overcast clouds
316,Ambilobe,MG,-13.20,49.05,72.0,74,99,4.16,overcast clouds
317,Touros,BR,-5.20,-35.46,74.86,92,23,11.86,few clouds
318,Vavuniya,LK,8.75,80.50,81.36,75,95,8.84,overcast clouds
319,Mecca,SA,21.43,39.83,82.13,39,0,7.78,clear sky
320,Mujiayingzi,CN,42.12,118.78,80.76,24,54,5.57,broken clouds
321,Bayangol,RU,50.70,103.47,61.99,40,100,6.53,overcast clouds
322,Kroya,ID,-7.63,109.25,82.89,74,84,0.6,broken clouds
323,Ust-Omchug,RU,61.15,149.63,36.41,99,100,3.69,light rain
324,Tessalit,ML,20.20,1.01,83.35,34,6,15.79,clear sky
325,Esperance,AU,-33.87,121.90,67.37,58,15,15.86,few clouds
326,Volsk,RU,52.03,47.38,43.41,90,55,1.9,broken clouds
327,Ishigaki,JP,24.34,124.16,78.93,94,75,11.5,moderate rain
328,San Cristobal,VE,7.77,-72.22,71.78,84,2,2.93,clear sky
329,Nikolskoye,RU,59.70,30.79,43.88,57,94,2.98,overcast clouds
330,Paamiut,GL,61.99,-49.67,32.9,99,100,21.05,snow
331,Sinnamary,GF,5.38,-52.95,76.5,88,100,4.74,overcast clouds
332,Juneau,US,58.30,-134.42,64.4,46,75,8.05,broken clouds
333,Khatanga,RU,71.97,102.50,34.21,73,100,10.02,overcast clouds
334,Yangambi,CD,0.81,24.43,70.25,95,97,1.77,overcast clouds
335,Kukes,AL,42.08,20.42,60.42,85,3,4.81,clear sky
336,Chico,US,39.73,-121.84,90.05,12,40,6.91,scattered clouds
